人物类型,人物类型排序,中文名称,英文名称,任期开始年份,任期结束年份,任期时长,主要故事,重要度评分,重要度评分原因,信仰状态评分,信仰状态评分原因,相关书卷,被提及次数
1-族长,1,亚当,Adam,-4004,-3074,930年,创造、堕落、逐出伊甸园,10.0 ,被创造的第一个人类，所有人类的始祖,4.0 ,尽管犯罪堕落，但在伊甸园里与神有直接交流,创世记,30
1-族长,2,挪亚,Noah,-2948,-1998,950年,建造方舟，经历洪水,9.5 ,造方舟保存人类和动物生命，代表神与人类的新约,4.8 ,对神的指示完全信服，在洪水来临前建造方舟,创世记,53
1-族长,3,亚伯拉罕,Abraham,-2166,-1991,175年,上帝的呼召，献以撒,10.0 ,信仰之父，神与他立约，成为以色列人的祖先,5.0 ,完全信靠神，愿意献上独生子以撒,创世记,311
1-族长,4,以撒,Isaac,-2066,-1886,180年,亚伯拉罕之约的继承者,8.5 ,承接亚伯拉罕的信仰遗产，继续神的应许,4.5 ,对神有坚定信仰，顺服神的安排,创世记,129
1-族长,5,雅各,Jacob,-2006,-1859,147年,与天使摔跤，改名以色列,9.0 ,以色列十二支派的父亲，神更名为以色列,4.6 ,与神摔跤，经历信仰成长，最终对神忠诚,创世记,358
1-族长,6,约瑟,Joseph,-1915,-1805,110年,被卖到埃及，成为宰相,9.0 ,拯救家族于饥荒，在埃及成为高官，保全以色列家族,4.7 ,在困境中保持信仰，对神忠心耿耿,创世记,215
2-士师,1,俄陀聂,Othniel,-1373,-1333,40年,击败古珊利萨田王，带来40年和平,7.0 ,首位士师，拯救以色列脱离敌人压迫,4.2 ,被神的灵充满，带领以色列取得胜利,士师记,5
2-士师,2,以笏,Ehud,-1316,-1237,80年,刺杀摩押王以笏，带来80年和平,7.5 ,用左手杀死摩押王伊矶伦，解救以色列人,4.3 ,勇敢执行神的旨意，解救以色列脱离压迫,士师记,11
2-士师,3,珊迦,Shamgar,-1237,-1198,40年,用赶牛棒击杀600非利士人,6.5 ,用赶牛棍击杀600名非利士人，拯救以色列,3.8 ,在危机时刻对神的信心和勇气,士师记,1
2-士师,4,底波拉,Deborah,-1237,-1198,40年,联合巴拉击败迦南王耶宾,8.0 ,女士师和先知，带领以色列人打败迦南王耶宾,4.5 ,强烈的信仰和领导力，带领以色列人回归神,士师记,10
