线路名称,序号,地点名称,地点名称(英文),地点主要信息,主要人物,主要历史事件,地点其他信息,停留开始日期,停留结束日期,停留时间(天/年),相关经文,信息来源,位置信息(经纬度),短评,信仰状态打分
以色列人出埃及,1,兰塞,Rameses,这个地点传统上认为是位于埃及的北部，但具体位置仍有争议。,摩西、亚伦,以色列人从埃及出发，开始出埃及之旅。,,前1446年,前1446年,1天,出12:37,,"30.9640,31.2430",以色列人满怀信心地跟随摩西离开埃及。,4
以色列人出埃及,2,疏割,Succoth,其位置也不确定，一般认为在埃及境内靠近东部边界的地方。,摩西、亚伦,以色列人离开疏割，继续向红海方向行进。,,前1446年,前1446年,1天,出12:37,,"30.7900,31.5500",继续信任神的带领。,4
以色列人出埃及,3,以倘,Etham,具体位置尚不明确，推测可能在红海附近。,摩西、亚伦,以色列人在以倘扎营，神的云柱带领他们。,,前1446年,前1446年,1天,出13:20,,"30.5200,32.2700",信任神的引导。,4
以色列人出埃及,4,比哈希录,Pi-hahiroth,"这个地点的具体位置并不明确，一般认为在红海附近，是以色列人出埃及时的一个重要营地。由于地名变化和考古证据的不足，具体位置仍然存在争议,一般认为是今日名为T. Dafanneh 的废墟，该处即是耶 44:1 中的答比匿 Tahpanhes",摩西、法老,红海分开，法老军队被淹没，以色列人安全通过红海。,,前1446年,前1446年,数天,出14:2,,"30.4239,32.3512",经历神迹，信仰增强。,5
以色列人出埃及,5,玛拉,Marah,玛拉传统上认为位于西奈半岛，但确切位置尚不明确。圣经描述此地的水是苦的，后被摩西变甜，因此也称作“苦泉”。,摩西,以色列人发现苦水，摩西将水变甜，使百姓得以解渴。,Ain Hawarah 水泉，位于以琳之北约 11 公里，苏伊士市的南方约 75 公里，红海的东岸，亚玛拉河之南，在一条通往古代採绿松石矿场的路旁,前1446年,前1446年,数天,出15:23,,"29.4912,32.8587",虽然抱怨，但在摩西的带领下信仰恢复。,3
以色列人出埃及,6,以琳,Elim,以琳被描述为有十二股水泉和七十棵棕树的地方，传统上认为在西奈半岛，但具体位置不详。,摩西,以色列人到达以琳，找到12股水泉和70棵棕树，得到休息。,,前1446年,前1446年,数天,出15:27,,"29.4061,32.9740",得到补给，信心增强。,4
以色列人出埃及,7,汛的旷野,Wilderness of Sin,这个地点被认为是位于红海到西奈山之间的旷野区域，但其具体范围和位置尚有争议。,摩西、亚伦,神赐下吗哪和鹌鹑给以色列人作为食物。,其位置和边界皆不明确，大约是位于书珥旷野及以琳之南，红海东岸边名叫 El-Kaa的一片平原，北起自 Wadi Taiyibeh，包括半岛之西方沿岸，东邻巴兰旷野，南邻西乃旷野，但界线皆模煳不清。,前1446年,前1446年,数天,出16:1,,"29.1711,33.2226",面对饥饿抱怨，但接受神的供应。,3
以色列人出埃及,8,利非订,Rephidim,这个地点的确切位置也存在争议，有人认为在西奈半岛中部或南部。,摩西,摩西击打磐石出水，帮助以色列人解决缺水问题。,确实位置不明，在传统上均认为是现今名叫 Oasis Feiran 的绿洲，绿洲在 Wadi Refaid 旱溪之上游，距西乃山约 36 公里，那里有丰富的水源，北面有 Gebel Bauat 山，高 1510 公尺，南面有 Gebel Serbal 山，高 2070 公尺，绿洲是西乃要塞的一个重要部份，也是前往西乃山的必经之地,前1446年,前1446年,数天,出17:1,,"28.7192,33.6183",再度抱怨缺水，但看到神的供应。,3
以色列人出埃及,9,西奈山,Mount Sinai,关于西奈山的确切位置有多种理论，最常见的看法是位于西奈半岛，但也有学者提出其他可能的位置，如阿拉伯半岛的某些地方。,摩西,摩西在西奈山接受十诫和律法，神与以色列人立约。,,前1446年,前1445年,约1年,出19:2,,"28.5390,33.9750",接受律法，信仰达到高峰。,5
以色列人出埃及,10,基博罗哈他瓦,Kibroth-hattaavah,这个地点的具体位置尚不清楚，有不同的考古学家提出不同的理论。,摩西,以色列人在基博罗哈他瓦因贪食肉类而遭受瘟疫。,,前1445年,前1445年,数天,民11:34,,"28.6876,34.3265",因贪食和不信导致瘟疫。,-3
以色列人出埃及,11,哈洗录,Hazeroth,其具体位置也不清楚，一般认为在西奈半岛或阿拉伯半岛北部。,摩西、米利暗,米利暗因反对摩西而被神惩罚得麻风病。,Ain Khadra 水泉，位于西乃山东北约 64 公里，以旬迦别西南约 87 公里，现今的港城 Nuweiba 之西约 20 公里。,前1445年,前1445年,数天,"民11:35,12:16",,"29.0130,34.5067",内部纷争导致信仰动摇。,-2
以色列人出埃及,12,以旬迦别,Ezion-Geber,通常认为位于现代的约旦或以色列的红海沿岸，接近现在的亚喀巴（Aqaba）和埃拉特（Eilat）。它被认为是古代的重要港口和贸易中心。,-,作为一个停留和转折点,位于阿卡巴湾北端的一个海港废墟，也就是今日以色列的 Elat 商业大港附近，在其东侧约 4 公里处的就是今日约旦的 Al-Aqabah 的大港，昔日的以拉他或以禄 Elath or Eloth， 则是在以拉他之西约 2 公里处，,前1445年,前1445年,不详,民33:35,,"29.5454,34.9769",,-2
以色列人出埃及,13,加低斯巴尼亚,Kadesh-barnea,后又学者认为是 Ain Qudeirat， 因为它的水量是最丰富的一处，所以才是加低斯,摩西、亚伦,以色列人在加低斯巴尼亚因不信而徘徊旷野四十年。,,前1445年,前1405年,40年,"民13:26,20:1",,"30.5830,34.4842",因不信而受到惩罚。,-4
以色列人出埃及,14,何珥山,Mount Hor,一般认为在埃德姆地附近，但具体位置不确定。,摩西、亚伦,亚伦在何珥山去世，祭司职务传给以利亚撒。,,前1405年,前1405年,数天,民20:22-29,,"30.3180,35.1320",领导层交接，信仰较为稳定。,2
以色列人出埃及,15,阿伯,Oboth,具体位置不明确，可能在摩押地区。,摩西,以色列人从阿伯继续向迦南地进发。,,前1405年,前1405年,数天,民21:11,,"30.6166,35.1900",继续前行，信仰较为稳定。,3
以色列人出埃及,16,以耶亚巴琳,Iye-abarim,其位置也有争议，一般认为在摩押平原附近。,摩西,以色列人在以耶亚巴琳扎营，准备渡过约旦河。,,前1405年,前1405年,数天,民21:11,,"30.9559,35.7794",准备渡河，信仰较为稳定。,3
以色列人出埃及,17,摩押平原,Plains of Moab,位置相对确定，一般认为在死海南部附近的约旦境内，但具体范围有争议。,摩西、约书亚,摩西在摩押平原预言以色列人的未来并去世。,,前1405年,前1405年,数月,民22:1,,"31.7470,35.7330",领导层交接，信仰较为坚定。,4
以色列人出埃及,18,约旦河东岸,East of Jordan River,其范围较广，虽然整体位置明确，但具体地点可能有争议。,约书亚,约书亚带领以色列人渡过约旦河进入迦南地。,,前1405年,前1405年,数天,民22:1,,"31.8191,35.5523",成功渡河，信仰坚定。,5
以色列人出埃及,19,耶利哥,Jericho,耶利哥是一个现代仍存在的城市，位于约旦河西岸，位置相对明确，被认为是世界上最古老的连续有人居住的城市之一。,约书亚,约书亚带领以色列人攻占耶利哥城，开始征服迦南地。,,前1405年,前1405年,数天,书2:1,,"31.8700,35.4500",成功攻城，信仰坚定。,5
保罗第一次布道,1,安提阿(起点),Antioch,叙利亚的一个重要城市,保罗、巴拿巴,教会差派保罗和巴拿巴,,不详,不详,不详,徒13:1-3,https://bibleeveryone.com/paul-trip1.php,"37.0000,35.3213",暂无,5
保罗第一次布道,2,西流基,Seleucia,叙利亚的一个港口城市,保罗、巴拿巴,从安提阿出发至塞浦路斯,,不详,不详,不详,徒13:4,https://bibleeveryone.com/paul-trip1.php,"36.8470,35.9170",暂无,5
保罗第一次布道,3,撒拉米,Salamis,塞浦路斯东部城市,保罗、巴拿巴,在犹太人会堂传道,,不详,不详,不详,徒13:5,https://bibleeveryone.com/paul-trip1.php,"35.1667,33.3667",暂无,5
保罗第一次布道,4,帕弗,Paphos,塞浦路斯西海岸城市,保罗、巴拿巴,传道，埃吕马被击瞎,,不详,不详,不详,徒13:6-12,https://bibleeveryone.com/paul-trip1.php,"34.7754,32.4245",暂无,5
保罗第一次布道,5,别加(1次),Perga (1st visit),小亚细亚西南部城市,保罗、巴拿巴,从帕弗到达别加,,不详,不详,不详,徒13:13,https://bibleeveryone.com/paul-trip1.php,"36.8570,30.8543",暂无,5
保罗第一次布道,6,彼西底的安提阿(1次),Antioch in Pisidia (1st visit),小亚细亚的一座城市,保罗、巴拿巴,在会堂传道，犹太人反对，外邦人信主,,不详,不详,不详,徒13:14-52,https://bibleeveryone.com/paul-trip1.php,"38.3483,30.7641",暂无,5
保罗第一次布道,7,以哥念(1次),Iconium (1st visit),小亚细亚中南部城市,保罗、巴拿巴,在会堂传道，犹太人和外邦人信主，遭逼迫,,不详,不详,不详,徒14:1-7,https://bibleeveryone.com/paul-trip1.php,"37.8746,32.4932",暂无,5
保罗第一次布道,8,路司得(1次),Lystra (1st visit),小亚细亚中南部城市,保罗、巴拿巴,医治瘸子，被误认为神明，保罗被石头打伤,,不详,不详,不详,徒14:8-20,https://bibleeveryone.com/paul-trip1.php,"37.6739,32.4790",暂无,5
保罗第一次布道,9,特庇,Derbe,小亚细亚东南部城市,保罗、巴拿巴,传道，许多人信主,,不详,不详,不详,徒14:20-21,https://bibleeveryone.com/paul-trip1.php,"37.5847,33.3806",暂无,5
保罗第一次布道,10,路司得(2次),Lystra (2nd visit),小亚细亚中南部城市,保罗、巴拿巴,返回路司得，坚固门徒,,不详,不详,不详,徒14:21-22,https://bibleeveryone.com/paul-trip1.php,"37.6739,32.4790",暂无,5
